赛季,球员姓名,国家,球队,身高,体重,位置,上场时间,场均得分,篮板,助攻,盖帽,防守,效率,命中率
2010-2011,保罗 皮尔斯,美国,凯尔特人,2米01,"106,6 公斤",前锋,38.2,20.8,5.0,2.8,0.4,4.4,18.3,45.9
2010-2011,马努 吉诺比利,阿根廷,马刺,1米98,"93,0 公斤",后卫,34.9,20.6,4.0,4.2,0.6,3.6,19.0,44.3
2010-2011,托尼 帕克,法国,马刺,1米88,"83,9 公斤",后卫,36.8,19.7,2.7,5.2,0.3,2.5,15.8,46.2
2010-2011,雷 阿伦,美国,凯尔特人,1米96,"93,0 公斤",后卫,40.1,18.9,3.8,2.4,0.1,3.2,19.4,52.3
2010-2011,乔 约翰逊,美国,老鹰,2米01,"108,9 公斤",后卫,41.4,18.8,4.6,3.3,0.0,3.1,15.4,43.9
2010-2011,克里斯 波什,美国,热火,2米11,"106,6 公斤",前锋,39.7,18.6,8.4,1.1,0.9,6.2,19.3,47.4
2010-2011,贾森 特里,美国,小牛,1米88,"81,6 公斤",后卫,32.6,17.5,1.9,3.2,0.1,1.6,15.2,47.8
2010-2011,罗尔 邓,英国,公牛,2米06,"99,8 公斤",前锋,42.9,16.9,6.6,2.7,0.6,4.9,17.8,42.6
2010-2011,卡尔 兰德里,美国,黄蜂,2米06,"112,5 公斤",前锋,35.5,15.8,5.0,1.0,0.5,3.2,14.3,45.6
2010-2011,艾尔顿 布兰德,美国,76人,2米06,"115,2 公斤",前锋,37.0,15.6,8.4,0.6,1.2,6.0,19.2,54.8
2010-2011,泰 劳森,美国,掘金,1米80,"88,5 公斤",后卫,33.4,15.6,3.4,3.8,0.2,2.0,17.2,50.0
2010-2011,特雷沃 阿里扎,美国,黄蜂,2米03,"95,3 公斤",前锋,40.2,15.5,6.5,3.3,0.5,5.3,16.7,41.2
2010-2011,贾马尔 克劳福德,美国,老鹰,1米96,"90,7 公斤",后卫,29.8,15.4,1.4,2.5,0.3,1.3,10.4,39.4
2010-2011,迈克 康利,美国,灰熊,1米85,"83,9 公斤",后卫,39.0,15.2,3.8,6.4,0.2,3.3,15.1,38.8
2010-2011,杰拉德 华莱士,美国,开拓者,2米01,"99,8 公斤",前锋,37.7,15.2,9.2,2.8,0.5,7.7,19.7,44.8
2010-2011,约什 史密斯,美国,老鹰,2米06,"108,9 公斤",前锋,36.5,15.1,8.5,2.9,2.0,7.0,16.8,40.4
2010-2011,马克 加索尔,西班牙,灰熊,2米16,"120,2 公斤",中锋,39.9,15.0,11.3,2.2,2.1,8.1,22.7,51.1
2010-2011,凯文 加内特,美国,凯尔特人,2米11,"114,8 公斤",前锋,36.4,14.9,10.9,2.6,1.0,8.6,20.4,44.1
2010-2011,安德鲁 米勒,美国,开拓者,1米88,"90,7 公斤",后卫,32.3,14.8,3.1,5.5,0.0,2.3,15.2,49.3
2010-2011,阿马尔 斯塔德迈尔,美国,尼克斯,2米08,"108,9 公斤",前锋-中锋,33.4,14.5,7.8,1.8,0.7,5.0,11.5,38.2
2010-2011,安德鲁 拜纳姆,美国,湖人,2米13,"129,3 公斤",中锋,32.0,14.4,9.6,0.8,1.4,6.0,19.3,54.3
2010-2011,朱 霍利迪,美国,76人,1米93,"81,6 公斤",后卫,37.6,14.2,3.8,5.6,0.4,3.2,16.4,41.4
2010-2011,内内,巴西,掘金,2米11,"113,4 公斤",中锋,32.4,14.2,9.0,1.6,0.8,6.2,16.0,47.8
2010-2011,拉简 隆多,美国,凯尔特人,1米85,"77,6 公斤",后卫,38.4,14.0,5.4,9.6,0.0,4.2,18.7,47.7
2010-2011,贾米尔 尼尔森,美国,魔术,1米83,"86,2 公斤",后卫,36.1,13.2,4.2,5.0,0.0,3.0,14.0,37.8
2010-2011,保罗 加索尔,西班牙,湖人,2米13,"113,4 公斤",前锋-中锋,35.8,13.1,7.8,3.8,1.7,4.6,17.7,42.0
2010-2011,詹姆斯 哈登,美国,雷霆,1米96,"99,8 公斤",后卫,31.6,13.0,5.4,3.6,0.7,4.8,17.2,47.5
2010-2011,韦斯利 马休斯,美国,开拓者,1米96,"99,8 公斤",后卫,33.7,13.0,1.1,1.0,0.1,0.8,9.3,47.4
2010-2011,蒂姆 邓肯,美国维尔京群岛,马刺,2米11,"115,7 公斤",前锋,35.3,12.7,10.5,2.7,2.5,7.8,18.8,47.8
2010-2011,卡洛斯 布泽尔,美国,公牛,2米06,"120,7 公斤",前锋,31.7,12.6,9.7,1.8,0.4,7.2,16.3,43.3
2010-2011,拉马尔 奥多姆,美国,湖人,2米08,"104,3 公斤",前锋,28.6,12.1,6.5,2.1,0.4,5.2,13.4,45.9
2010-2011,达尼罗 加里纳利,意大利,掘金,2米08,"102,1 公斤",前锋,29.6,12.0,3.4,2.0,0.0,3.2,10.6,43.2
2010-2011,肖恩 马里昂,美国,小牛,2米01,"103,4 公斤",前锋,32.9,11.9,6.3,2.1,0.9,4.1,14.5,46.7
2010-2011,肯扬 马丁,美国,掘金,2米06,"108,9 公斤",前锋,29.6,11.8,7.8,1.6,0.4,6.6,14.0,48.0
2010-2011,杰夫 蒂格,美国,老鹰,1米88,"81,6 公斤",后卫,29.8,11.8,2.1,3.5,0.3,2.1,12.6,51.4
2010-2011,乔治 希尔,美国,马刺,1米88,"81,6 公斤",后卫,31.5,11.7,5.0,2.3,0.3,4.2,13.8,40.0
2010-2011,雷蒙德 菲尔顿,美国,掘金,1米85,"93,0 公斤",后卫,30.4,11.6,1.8,4.2,0.0,1.8,9.2,36.0
2011-2012,勒布朗 詹姆斯,美国,热火,2米03,"113,4 公斤",前锋,42.8,30.3,9.7,5.6,0.7,7.4,31.13,50.0
2011-2012,科比 布莱恩特,美国,湖人,1米98,"93,0 公斤",后卫,39.7,30.0,4.8,4.3,0.1,3.5,22.417,43.9
2011-2012,凯文 杜兰特,美国,雷霆,2米06,"106,6 公斤",前锋,41.8,28.5,7.5,3.7,1.2,6.8,28.8,51.7
2011-2012,卡梅隆 安东尼,美国,尼克斯,2米03,"104,3 公斤",前锋,40.8,27.8,8.2,2.2,0.2,5.6,20.4,41.9
2011-2012,德克 诺维茨基,德国,小牛,2米13,"111,1 公斤",前锋,38.4,26.8,6.3,1.8,0.0,5.5,21.25,44.2
2011-2012,拉塞尔 威斯布鲁克,美国,雷霆,1米91,"84,8 公斤",后卫,38.4,23.1,5.5,5.9,0.4,4.4,21.45,43.5
2011-2012,德里克 罗斯,美国,公牛,1米91,"86,2 公斤",后卫,37.2,23.0,9.0,9.0,1.0,6.0,24.0,39.1
2011-2012,德怀恩 韦德,美国,热火,1米93,"99,8 公斤",后卫,39.4,22.8,5.2,4.3,1.3,3.8,20.522,46.2
2011-2012,托尼 帕克,法国,马刺,1米88,"83,9 公斤",后卫,36.1,20.1,3.6,6.8,0.0,3.0,18.286,45.3
2011-2012,凯文 加内特,美国,凯尔特人,2米11,"114,8 公斤",中锋-前锋,36.9,19.2,10.4,1.5,1.4,8.8,22.6,49.7
2011-2012,布莱克 格里芬,美国,快船,2米08,"113,9 公斤",前锋,35.7,19.1,6.9,2.5,0.9,5.2,19.091,50.0
2011-2012,格伦  戴维斯,美国,魔术,2米06,"131,1 公斤",中锋-前锋,38.1,19.0,9.2,0.8,1.2,4.6,18.0,43.8
2011-2012,鲁迪 盖伊,美国,灰熊,2米03,"104,3 公斤",前锋,39.9,19.0,6.5,1.4,0.2,5.1,15.143,42.1
2011-2012,泰 劳森,美国,掘金,1米80,"88,5 公斤",后卫,34.6,19.0,2.6,6.0,0.1,2.0,19.0,51.4
2011-2012,保罗 皮尔斯,美国,凯尔特人,2米01,"106,6 公斤",前锋,38.9,18.9,6.1,3.1,0.9,5.4,17.4,38.6
2011-2012,艾尔 杰弗森,美国,爵士,2米08,"131,1 公斤",中锋,35.2,18.3,8.6,2.5,0.7,6.8,21.25,52.9
2011-2012,克里斯 保罗,美国,快船,1米83,"79,4 公斤",后卫,38.4,17.6,5.0,7.9,0.0,4.5,20.455,42.7
2011-2012,蒂姆 邓肯,美国维尔京群岛,马刺,2米11,"115,7 公斤",前锋,33.1,17.4,9.4,2.8,2.0,7.1,22.214,49.5
2011-2012,拉简 隆多,美国,凯尔特人,1米85,"84,4 公斤",后卫,42.7,17.3,6.7,11.9,0.1,4.9,25.368,46.8
2011-2012,乔 约翰逊,美国,老鹰,2米01,"108,9 公斤",后卫,40.5,17.2,3.5,3.5,0.1,2.5,11.333,37.3
2011-2012,丹尼 格兰杰,美国,步行者,2米03,"103,4 公斤",前锋,38.2,17.0,5.7,2.5,0.3,4.3,13.364,39.7
2011-2012,约什 史密斯,美国,老鹰,2米06,"102,1 公斤",前锋,39.1,16.8,13.6,4.8,1.0,11.6,22.0,38.6
2011-2012,安德鲁 拜纳姆,美国,湖人,2米13,"129,3 公斤",中锋,37.6,16.7,11.1,1.5,3.0,7.3,23.5,47.7
2011-2012,詹姆斯 哈登,美国,雷霆,1米96,"99,8 公斤",后卫,31.5,16.3,5.2,3.4,0.1,4.5,17.4,43.5
2011-2012,朱 霍利迪,美国,76人,1米93,"81,6 公斤",后卫,38.0,15.8,4.7,5.2,0.6,3.4,17.308,41.3
2011-2012,贾米尔 尼尔森,美国,魔术,1米83,"86,2 公斤",后卫,36.3,15.6,3.8,6.6,0.2,3.6,15.2,39.2
2011-2012,艾尔 霍福德,多明尼加共和国,老鹰,2米08,"113,4 公斤",中锋-前锋,35.9,15.3,8.4,2.7,1.3,6.7,19.667,58.8
2011-2012,阿马尔 斯塔德迈尔,美国,尼克斯,2米11,"117,9 公斤",前锋-中锋,34.8,15.3,6.5,0.8,0.2,4.5,15.25,55.6
2011-2012,大卫 韦斯特,美国,步行者,2米06,"108,9 公斤",前锋,37.8,15.3,8.5,2.0,0.5,6.6,17.364,44.6
2011-2012,马克 加索尔,西班牙,灰熊,2米16,"120,2 公斤",中锋,37.3,15.1,6.7,3.1,1.8,4.4,19.286,52.2
2011-2012,乔金 诺阿,美国,公牛,2米11,"105,2 公斤",中锋,33.0,15.0,9.3,3.0,1.3,6.3,25.333,73.1
2011-2012,马努 吉诺比利,阿根廷,马刺,1米98,"93,0 公斤",后卫,27.9,14.4,3.5,4.0,0.2,2.9,13.571,44.8
2011-2012,迈克 康利,美国,灰熊,1米85,"83,9 公斤",后卫,39.5,14.1,3.3,7.1,0.0,2.7,15.714,42.1
2011-2012,克里斯 波什,美国,热火,2米11,"106,6 公斤",前锋,31.4,14.0,7.8,0.6,1.0,5.2,16.357,49.3
2011-2012,罗尔 邓,英国,公牛,2米06,"99,8 公斤",前锋,38.0,14.0,8.3,1.5,1.5,7.0,16.833,45.6
2011-2012,杰夫 蒂格,美国,老鹰,1米88,"82,1 公斤",后卫,37.4,14.0,3.7,4.2,0.8,3.0,14.333,41.1
2011-2012,贾森 特里,美国,小牛,1米88,"81,6 公斤",后卫,34.7,13.8,2.3,3.8,0.0,2.0,11.25,45.5
2011-2012,扎克 兰多夫,美国,灰熊,2米06,"117,9 公斤",前锋,35.4,13.7,9.9,0.9,0.5,6.0,15.286,42.0
2011-2012,卡洛斯 布泽尔,美国,公牛,2米06,"120,7 公斤",前锋,33.4,13.5,9.9,3.0,0.3,8.2,14.667,42.2
2011-2012,乔治 希尔,美国,步行者,1米88,"81,6 公斤",后卫,31.5,13.5,2.3,2.9,0.2,1.5,12.182,44.8
2011-2012,达尼罗 加里纳利,意大利,掘金,2米08,"102,1 公斤",前锋,31.6,13.4,5.2,2.4,0.5,3.9,12.143,36.2
2011-2012,理查德 汉密尔顿,美国,公牛,2米01,"87,5 公斤",后卫,28.5,13.0,3.1,3.0,0.0,1.8,10.5,41.4
2011-2012,德文 哈里斯,美国,爵士,1米91,"87,1 公斤",后卫,30.0,13.0,1.5,3.8,0.5,1.5,8.25,39.6
2011-2012,安德鲁 伊格达拉,美国,76人,1米98,"93,9 公斤",前锋-后卫,38.9,12.9,5.7,3.7,0.3,4.4,13.769,38.4
2011-2012,保罗 加索尔,西班牙,湖人,2米13,"113,4 公斤",前锋-中锋,37.0,12.5,9.5,3.7,2.0,6.3,19.417,43.4
2011-2012,JR 史密斯,美国,尼克斯,1米98,"99,8 公斤",后卫,35.0,12.2,2.6,2.2,0.2,2.2,5.8,31.6
2011-2012,保罗 米尔萨普,美国,爵士,2米03,"114,8 公斤",前锋,34.7,12.0,11.1,0.5,2.5,6.8,13.5,37.0
2011-2012,德里克 费佛斯,美国,爵士,2米08,"112,5 公斤",前锋-中锋,29.1,11.8,9.5,0.5,1.5,6.0,15.0,41.7
2011-2012,肖恩 马里昂,美国,小牛,2米01,"103,4 公斤",前锋,35.0,11.8,8.1,1.0,1.2,5.8,13.75,42.5
2011-2012,罗伊 希伯特,美国,步行者,2米18,"117,9 公斤",中锋,30.9,11.7,11.2,1.1,3.0,7.1,19.636,50.0
2012-2013,凯文 杜兰特,美国,雷霆,2米06,"106,6 公斤",前锋,44.0,30.8,9.0,6.3,1.0,8.4,30.6,45.5
2012-2013,卡梅隆 安东尼,美国,尼克斯,2米03,"104,3 公斤",前锋,40.1,28.8,6.6,1.6,0.1,5.7,19.5,40.6
2012-2013,詹姆斯 哈登,美国,火箭,1米96,"99,8 公斤",后卫,40.5,26.3,6.6,4.5,1.0,5.8,22.2,39.1
2012-2013,勒布朗 詹姆斯,美国,热火,2米03,"113,4 公斤",前锋,41.8,25.9,8.4,6.6,0.7,6.8,29.2,49.1
2012-2013,拉塞尔 威斯布鲁克,美国,雷霆,1米91,"84,8 公斤",后卫,33.8,24.0,6.5,7.0,0.0,6.0,23.5,41.5
2012-2013,斯蒂芬 库里,美国,勇士,1米91,"83,9 公斤",后卫,41.4,23.4,3.8,8.1,0.1,3.4,22.5,43.4
2012-2013,克里斯 保罗,美国,快船,1米83,"79,4 公斤",后卫,37.3,22.8,4.0,6.3,0.0,3.5,25.7,53.3
2012-2013,布鲁克 洛佩兹,美国,篮网,2米13,"120,2 公斤",中锋,37.6,22.3,7.4,1.4,3.0,3.3,22.7,47.2
2012-2013,泰 劳森,美国,掘金,1米80,"88,5 公斤",后卫,39.4,21.3,3.3,8.0,0.0,2.5,21.2,44.0
2012-2013,托尼 帕克,法国,马刺,1米88,"83,9 公斤",后卫,36.4,20.6,3.3,7.0,0.1,2.6,18.9,45.8
2012-2013,德隆 威廉姆斯,美国,篮网,1米91,"94,8 公斤",后卫,41.7,20.6,3.1,8.4,0.5,3.0,20.9,42.5
2012-2013,杰夫 格林,美国,凯尔特人,2米06,"106,6 公斤",前锋,43.0,20.3,5.3,2.3,0.6,4.3,16.7,43.5
2012-2013,保罗 乔治,美国,步行者,2米03,"100,2 公斤",前锋-后卫,41.0,19.2,7.4,5.1,0.4,6.6,19.4,43.0
2012-2013,保罗 皮尔斯,美国,凯尔特人,2米01,"106,6 公斤",前锋,42.5,19.2,5.7,5.3,0.5,5.0,14.5,36.8
2012-2013,钱德勒 帕森斯,美国,火箭,2米06,"103,0 公斤",前锋,39.6,18.2,6.5,3.7,0.3,5.3,16.5,45.2
2012-2013,蒂姆 邓肯,美国维尔京群岛,马刺,2米11,"115,7 公斤",前锋,35.0,18.1,10.2,1.9,1.6,7.6,21.7,47.0
2012-2013,安德鲁 伊格达拉,美国,掘金,1米98,"93,9 公斤",后卫-前锋,40.6,18.0,8.0,5.3,0.3,6.5,23.3,50.0
2012-2013,扎克 兰多夫,美国,灰熊,2米06,"117,9 公斤",前锋,37.0,17.4,10.0,1.6,0.4,6.1,18.3,46.0
2012-2013,马克 加索尔,西班牙,灰熊,2米16,"120,2 公斤",中锋,40.6,17.2,8.5,3.2,2.2,6.8,22.1,45.4
2012-2013,贾瑞特 杰克,美国,勇士,1米91,"89,4 公斤",后卫,35.5,17.2,4.4,4.7,0.3,3.8,17.6,50.6
2012-2013,迈克 康利,美国,灰熊,1米85,"83,9 公斤",后卫,38.3,17.0,4.7,7.1,0.3,3.9,18.3,38.4
2012-2013,罗伊 希伯特,美国,步行者,2米18,"127,0 公斤",中锋,36.5,17.0,9.9,1.4,1.9,5.2,21.0,51.1
2012-2013,德怀特 霍华德,美国,湖人,2米11,"120,2 公斤",中锋,31.6,17.0,10.8,1.0,2.0,8.3,18.3,61.9
2012-2013,约什 史密斯,美国,老鹰,2米06,"102,1 公斤",前锋,33.2,17.0,7.5,3.5,0.5,5.8,16.3,43.3
2012-2013,艾尔 霍福德,多明尼加共和国,老鹰,2米08,"113,4 公斤",中锋-前锋,36.3,16.7,8.8,3.0,0.8,6.8,20.3,49.4
2012-2013,卡洛斯 布泽尔,美国,公牛,2米06,"120,7 公斤",前锋,35.9,16.4,9.6,1.5,0.0,6.7,17.8,49.4
2012-2013,内特 罗宾逊,美国,公牛,1米75,"81,6 公斤",后卫,33.7,16.3,2.7,4.4,0.1,2.2,13.3,43.6
2012-2013,哈里森 巴恩斯,美国,勇士,2米03,"95,3 公斤",前锋,38.4,16.1,6.4,1.3,0.4,4.9,15.5,44.4
2012-2013,德怀恩 韦德,美国,热火,1米93,"99,8 公斤",后卫,35.6,15.9,4.6,4.8,1.0,2.9,16.7,45.7
2012-2013,大卫 韦斯特,美国,步行者,2米06,"113,4 公斤",前锋,36.2,15.9,7.6,2.1,0.7,5.4,16.4,46.2
2012-2013,克莱 汤普森,美国,勇士,2米01,"93,0 公斤",后卫,41.3,15.2,4.6,1.8,0.5,3.8,12.9,43.7
2012-2013,乔 约翰逊,美国,篮网,2米01,"108,9 公斤",后卫,38.8,14.9,3.2,2.7,0.0,2.6,11.4,41.7
2012-2013,乔治 希尔,美国,步行者,1米88,"86,2 公斤",后卫,38.1,14.6,3.7,4.3,0.2,3.4,14.2,40.1
2012-2013,蒙塔 艾利斯,美国,雄鹿,1米91,"83,9 公斤",后卫,37.9,14.3,3.3,5.5,0.2,2.8,12.0,43.6
2012-2013,JR 史密斯,美国,尼克斯,1米98,"99,8 公斤",后卫,31.9,14.3,4.7,1.4,0.4,4.2,9.0,33.1
2012-2013,雷蒙德 菲尔顿,美国,尼克斯,1米85,"93,0 公斤",后卫,37.8,14.1,3.4,4.7,0.4,2.0,14.4,44.4
2012-2013,史蒂夫 布莱克,美国,湖人,1米91,"78,0 公斤",后卫,37.5,14.0,4.0,2.5,1.5,4.0,13.5,39.3
2012-2013,保罗 加索尔,西班牙,湖人,2米13,"113,4 公斤",前锋-中锋,36.4,14.0,11.6,6.5,0.7,9.8,22.0,48.1
2012-2013,凯文 马丁,美国,雷霆,2米01,"83,9 公斤",后卫,29.4,14.0,3.1,1.3,0.2,2.9,10.6,38.0
2012-2013,安德鲁 米勒,美国,掘金,1米88,"90,7 公斤",后卫,25.7,14.0,3.3,3.8,0.0,1.5,11.2,42.0
2012-2013,雷吉 杰克逊,美国,雷霆,1米91,"94,3 公斤",后卫,33.4,13.9,4.9,3.6,0.5,4.5,15.6,47.9
2012-2013,罗尔 邓,英国,公牛,2米06,"99,8 公斤",前锋,44.8,13.8,7.6,3.8,0.6,6.6,12.8,38.1
2012-2013,科怀 伦纳德,美国,马刺,2米01,"102,1 公斤",前锋-后卫,36.9,13.5,9.1,1.0,0.5,6.7,19.4,54.5
2012-2013,吉米 巴特勒,美国,公牛,2米01,"99,8 公斤",后卫-前锋,40.8,13.3,5.2,2.7,0.5,4.4,15.3,43.5
2012-2013,布兰登 詹宁斯,美国,雄鹿,1米85,"76,7 公斤",后卫,33.3,13.3,2.3,4.0,0.2,2.0,8.0,29.8
2012-2013,杰夫 蒂格,美国,老鹰,1米88,"82,1 公斤",后卫,35.5,13.3,2.8,5.0,0.3,2.3,10.8,33.3
2012-2013,布莱克 格里芬,美国,快船,2米08,"113,9 公斤",前锋,26.3,13.2,5.5,2.5,0.8,4.2,13.2,45.3
2012-2013,赛尔吉 伊巴卡,刚果,雷霆,2米08,"106,6 公斤",前锋-中锋,33.3,12.8,8.3,0.7,3.0,4.8,16.9,43.7
2012-2013,凯文 加内特,美国,凯尔特人,2米11,"114,8 公斤",中锋-前锋,35.3,12.7,13.7,3.5,1.0,12.2,23.3,50.0
2012-2013,史蒂夫 纳什,加拿大,湖人,1米91,"80,7 公斤",后卫,30.4,12.5,2.5,4.5,0.0,1.5,11.5,43.5
2013-2014,凯文 杜兰特,美国,雷霆,2米06,"108,9 公斤",前锋,42.9,29.6,8.9,3.9,1.3,7.6,27.4,46.0
2013-2014,勒布朗 詹姆斯,美国,热火,2米03,"113,4 公斤",前锋,38.2,27.4,7.1,4.8,0.5,6.4,29.6,56.5
2013-2014,詹姆斯 哈登,美国,火箭,1米96,"99,8 公斤",后卫,43.9,26.8,4.6,5.8,0.1,3.8,21.3,37.6
2013-2014,拉塞尔 威斯布鲁克,美国,雷霆,1米91,"90,7 公斤",后卫,38.7,26.7,7.3,8.1,0.3,4.9,26.9,42.0
2013-2014,拉马库斯 阿尔德里奇,美国,开拓者,2米11,"108,9 公斤",前锋,40.1,26.2,10.6,1.5,1.6,7.9,25.0,45.2
2013-2014,德怀特 霍华德,美国,火箭,2米11,"120,2 公斤",中锋-前锋,38.6,26.0,13.7,1.8,2.8,9.2,29.8,54.7
2013-2014,德玛尔 德罗赞,美国,猛龙,2米01,"98,0 公斤",后卫,40.3,23.9,4.1,3.6,0.2,3.7,19.0,38.5
2013-2014,布莱克 格里芬,美国,快船,2米08,"113,9 公斤",前锋,36.8,23.5,7.4,3.8,1.0,4.7,23.8,50.0
2013-2014,斯蒂芬 库里,美国,勇士,1米91,"83,9 公斤",后卫,42.4,23.0,3.6,8.4,0.1,3.0,23.1,44.0
2013-2014,达米安 利拉德,美国,开拓者,1米91,"88,5 公斤",后卫,42.3,22.9,5.1,6.5,0.0,4.0,22.6,43.9
2013-2014,保罗 乔治,美国,步行者,2米06,"99,8 公斤",前锋-后卫,41.1,22.6,7.6,3.8,0.3,6.9,23.3,43.8
2013-2014,乔 约翰逊,美国,篮网,2米01,"108,9 公斤",后卫,39.1,21.2,3.9,2.9,0.2,3.1,19.3,53.3
2013-2014,凯尔 洛瑞,美国,猛龙,1米83,"93,0 公斤",后卫,38.8,21.1,4.7,4.7,0.0,3.4,18.4,40.4
2013-2014,蒙塔 艾利斯,美国,小牛,1米91,"83,9 公斤",后卫,35.6,20.4,2.5,2.9,0.1,1.6,13.7,40.9
2013-2014,克里斯 保罗,美国,快船,1米83,"79,4 公斤",后卫,36.3,19.8,4.2,10.3,0.0,3.3,25.2,46.7
2013-2014,肯巴 沃克,美国,黄蜂,1米85,"83,5 公斤",后卫,38.2,19.5,3.8,6.0,0.7,3.5,20.0,47.3
2013-2014,保罗 米尔萨普,美国,老鹰,2米03,"114,8 公斤",前锋,38.2,19.4,10.9,2.9,1.8,7.9,23.1,39.8
2013-2014,钱德勒 帕森斯,美国,火箭,2米06,"103,0 公斤",前锋,41.7,19.3,6.8,2.3,0.3,5.8,18.2,43.8
2013-2014,杰夫 蒂格,美国,老鹰,1米88,"82,1 公斤",后卫,34.6,19.3,3.7,5.0,0.5,3.0,16.6,39.3
2013-2014,布拉德利  比尔,美国,奇才,1米96,"93,9 公斤",后卫,41.6,19.2,5.0,4.5,0.6,3.6,18.7,42.4
2013-2014,德克 诺维茨基,德国,小牛,2米13,"111,1 公斤",前锋,37.5,19.1,8.0,1.6,0.8,7.3,17.1,42.9
2013-2014,艾尔 杰弗森,美国,黄蜂,2米08,"131,1 公斤",中锋,35.3,18.7,9.3,0.7,1.6,7.3,21.0,49.1
2013-2014,泰 吉布森,美国,公牛,2米06,"102,1 公斤",前锋-中锋,30.7,18.2,6.2,0.4,2.4,2.0,19.2,56.1
2013-2014,扎克 兰多夫,美国,灰熊,2米06,"117,9 公斤",前锋,39.1,18.2,8.6,2.3,0.1,5.8,15.5,40.4
2013-2014,德怀恩 韦德,美国,热火,1米93,"99,8 公斤",后卫,34.6,17.8,3.9,3.9,0.2,3.1,16.6,50.0
2013-2014,托尼 帕克,法国,马刺,1米88,"83,9 公斤",后卫,31.3,17.4,1.9,4.8,0.0,1.7,13.7,48.6
2013-2014,马克 加索尔,西班牙,灰熊,2米16,"120,2 公斤",中锋,42.8,17.3,7.8,4.4,0.8,5.9,19.4,40.5
2013-2014,克莱 汤普森,美国,勇士,2米01,"93,0 公斤",后卫,36.7,16.4,3.5,3.6,0.7,2.9,14.0,40.8
2013-2014,蒂姆 邓肯,美国维尔京群岛,马刺,2米11,"113,4 公斤",前锋,32.7,16.3,9.1,2.0,1.2,6.3,20.9,52.3
2013-2014,约翰 沃尔,美国,奇才,1米93,"88,5 公斤",后卫,38.1,16.3,4.0,7.1,0.7,3.5,15.5,36.6
